23.9,21,27.2,11.9,5.6,3,0.7,21.5,70,87,14.3,25.9,20.2,610
25.1,20.7,29.6,0.001,8.7,4.8,2,19.5,53,72.4,14.2,27.5,19.2,650
25.8,23.4,29.1,0.001,10.7,5.8,2.7,19.6,55,69.3,14.2,27.4,19.9,630
25.6,22.6,30,0.001,7.7,4.7,2,19.4,54,69.8,14.2,28.3,19.3,630
24.5,20.1,27.4,0.001,8.5,4.9,1.8,19.8,62,75.8,14.1,25.4,18.3,610
23.8,19.4,30.6,0.2,7.8,5.2,1.1,19.7,49,80.8,14,28.2,19.2,585
22.3,20.3,26.8,10.4,6.8,4.7,0.7,20.5,68,90.4,14,25.1,21.2,595
23,19.3,28.7,0.1,8.7,4.8,1.2,20.2,60,85.8,14,27.2,23.3,595
23.2,18.6,29.9,0.001,7.9,5.4,1.3,19.6,55,81.9,14,28,23.8,600
23.8,17,31.8,0.001,6,3.9,1.1,18.5,42,75.3,13.9,28.4,22.2,625
24,20.3,29.5,0.001,8.7,5.6,1.9,20.7,58,83.1,13.8,27.6,23.4,625
22.2,19.4,27.5,1.1,6.7,4.2,1.5,19.5,63,85.9,13.8,26.8,23.8,640
25,19.6,30.5,0.001,5.7,3.5,0.7,20.3,53,78,13.8,28.4,23.8,635
25.6,19.6,32.9,0.001,4.4,3,0.9,21.1,49,78.5,13.7,29,22.5,700
26.4,19.8,34.6,0.001,5.6,2.8,0.8,20.8,40,74.6,13.7,31.1,23.4,670
23.2,20.3,29.3,3.8,5.4,3.3,1.3,18.8,48,78.6,13.6,30.3,24.7,720
22.7,19.3,27.9,0.001,7.9,4.9,1.4,20,62,85.8,13.5,27.3,24.2,780
23.4,19.3,30,0.001,5.8,3.8,1.1,20.2,57,83.4,13.5,28.2,18.1,780
23.3,18.2,29.7,0.001,5.3,3.7,1,18.3,35,76.3,13.5,29.4,17.3,810
22.2,17.7,27.9,0.001,7.4,4.6,1.5,18.5,58,80.6,13.4,29.4,15.8,850
21.4,17.4,27.4,0.001,5.2,3.3,1.1,17.5,50,79.9,13.3,26.4,15,860
21.9,15.8,29.8,0.001,5.3,3.6,1.1,16.3,35,73.9,13.3,28.7,14.2,890
23.9,15.8,31.5,0.001,8.1,3.6,1.2,16.4,34,67,13.2,31,14.1,950
15,13,21.2,22.9,13.6,8.1,2.3,12.9,69,87.9,13.2,25,11.9,980
13.8,12.3,16.5,13.3,13.8,7.4,3.5,10.5,69,81.4,13.1,14.2,10.5,1060
15.1,12.1,17.6,1.7,8.1,4.3,1.3,11.4,62,79.5,13.1,15.8,10.8,1150
15.4,13.4,17.3,6.9,20.1,7.9,5,11,61,76,13,14.6,11.5,1260
21.1,16.9,25.4,0.001,12.7,5.8,2.7,14.6,52,67.4,13,20.5,14.2,1440
16.9,15.7,20,16.4,9,5,1.2,15.9,76,94.1,12.9,18,15.1,1350
20.5,18.3,24.8,4.3,4.1,2.8,0.7,19.2,74,93.1,12.8,22.6,17.7,1280
20.4,15.5,27.3,0.001,5.3,3.6,0.9,15.1,34,75.6,12.8,21.8,12.3,1220
